file	tRNA	tRNAPer	Catted	Position	perCovg	base
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	37	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	38	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	39	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	40	0.000	A
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	41	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	42	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	43	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	44	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	45	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	46	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	47	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	48	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	49	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	50	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	51	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	52	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	53	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	54	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	55	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	56	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	57	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	58	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	59	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	60	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	61	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	62	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	63	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	64	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	65	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	66	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	67	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	68	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	69	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	70	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	71	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	72	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	73	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	74	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	75	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	76	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	77	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	78	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	79	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	80	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	81	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	82	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	83	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	84	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	85	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	86	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	87	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	88	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	89	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	90	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	91	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	92	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	93	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	94	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	95	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	96	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	97	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	98	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	99	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	100	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	101	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	102	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	103	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	104	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	105	0.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	106	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	107	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	108	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	109	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	110	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	111	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	112	100.000	B
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	113	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	114	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	115	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	116	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	117	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	118	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	119	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	120	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	121	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	122	100.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	123	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	124	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	125	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	126	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	127	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	128	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	129	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	130	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	131	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	132	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	133	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	134	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	135	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	136	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	137	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	138	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	139	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	140	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	141	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	142	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	143	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	144	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	145	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	146	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	147	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	148	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	149	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	150	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	151	0.000	C
SRR12344555_trim_joined.fastq.hq_cs.mapped	pre-Met-CAT-1-1	0.014	pre-Met-CAT-1-1-tRF-1B 0.014	152	0.000	C
